Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,4775
CSP (Twh/yr),Estimated Renewable Energy Potential,4349
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,3154
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,412.4
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,129.1
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
