Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,90.0,Estimated Installed Capacity (MW)
Geothermal Power Plant,2015,419.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,287.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,447.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,24.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,499.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,320.8,Estimated Installed Capacity (MW)
Onshore Wind,2015,336.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,37.84,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,6.44,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,90.0,Estimated Installed Capacity (MW)
Geothermal Power Plant,2016,419.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,287.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,447.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,24.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,499.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,320.8,Estimated Installed Capacity (MW)
Onshore Wind,2016,336.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,37.84,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,6.44,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,90.0,Estimated Installed Capacity (MW)
Geothermal Power Plant,2017,419.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,287.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,447.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,24.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,499.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,320.8,Estimated Installed Capacity (MW)
Onshore Wind,2017,336.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,37.84,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,6.44,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,90.0,Estimated Installed Capacity (MW)
Geothermal Power Plant,2018,419.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,287.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,447.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,24.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,499.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,248.8,Estimated Installed Capacity (MW)
Onshore Wind,2018,310.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,37.84,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,6.44,Estimated Installed Capacity (MW)
