Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,3570.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,10857.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,680.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,17560.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,105.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,3.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.81,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,3570.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,10857.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,680.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,17560.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,105.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,3.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.81,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,3570.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,10857.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,680.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,17560.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,105.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,3.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.81,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,3570.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,10857.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,680.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,17560.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,105.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,3.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.81,Estimated Installed Capacity (MW)
