lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
VEN0PWRNGS001,VEN,PWRNGS001,0,AlbertoLovera29625,30.0,1994,0.3
VEN1PWRNGS001,VEN,PWRNGS001,1,AlfredoSalazar29626,30.0,1994,0.3
VEN0PWRNGS002,VEN,PWRNGS002,0,BajoGrande29628,30.0,1994,0.09
VEN2PWRNGS001,VEN,PWRNGS001,2,BarcazasJosefa29629,30.0,1994,0.34
VEN1PWRNGS002,VEN,PWRNGS002,1,Casigua29630,30.0,1994,0.083
VEN2PWRNGS002,VEN,PWRNGS002,2,CastillitoGas29631,30.0,1975,0.085
VEN3PWRNGS001,VEN,PWRNGS001,3,ElSitio29632,30.0,1994,0.36
VEN3PWRNGS002,VEN,PWRNGS002,3,Enelbar29633,30.0,1994,0.13
VEN4PWRNGS001,VEN,PWRNGS001,4,Guanta29636,30.0,1994,0.174
VEN5PWRNGS001,VEN,PWRNGS001,5,Guarenas29637,30.0,2012,0.156
VEN6PWRNGS001,VEN,PWRNGS001,6,JosefaCamejo29639,30.0,1994,0.45
VEN7PWRNGS001,VEN,PWRNGS001,7,JosefaJoaquina29640,30.0,1994,1.588
VEN4PWRNGS002,VEN,PWRNGS002,4,JuanBuatistaA29642,30.0,2013,0.115
VEN8PWRNGS001,VEN,PWRNGS001,8,Laraisa29643,30.0,1994,0.31
VEN9PWRNGS001,VEN,PWRNGS001,9,LuisaCaraceres29645,30.0,1994,0.367
VEN10PWRNGS001,VEN,PWRNGS001,10,PedroCamejo29648,30.0,1994,0.3
VEN5PWRNGS002,VEN,PWRNGS002,5,PlantaCamejo29649,30.0,1994,0.061
VEN11PWRNGS001,VEN,PWRNGS001,11,PlantaCentro29650,30.0,1994,2.0
VEN6PWRNGS002,VEN,PWRNGS002,6,PlantaCoro29651,30.0,1994,0.101
VEN12PWRNGS001,VEN,PWRNGS001,12,PlantaTachira29652,30.0,1994,0.247
VEN13PWRNGS001,VEN,PWRNGS001,13,PlantadelEste29653,30.0,1994,0.141
VEN14PWRNGS001,VEN,PWRNGS001,14,PuntoFijo29654,30.0,1994,0.199
VEN15PWRNGS001,VEN,PWRNGS001,15,RafaelUrdaneta29655,30.0,1994,0.224
VEN16PWRNGS001,VEN,PWRNGS001,16,RamonLaguna29656,30.0,1994,0.66
VEN17PWRNGS001,VEN,PWRNGS001,17,RicardoZuloaga29657,30.0,1956,1.72
VEN7PWRNGS002,VEN,PWRNGS002,7,SanFernando29658,30.0,1922,0.09
VEN8PWRNGS002,VEN,PWRNGS002,8,SanLorenzo29659,30.0,1994,0.04
VEN9PWRNGS002,VEN,PWRNGS002,9,SantaBarbara29660,30.0,2006,0.02
VEN18PWRNGS001,VEN,PWRNGS001,18,Termobarrancas29662,30.0,1994,0.161
VEN19PWRNGS001,VEN,PWRNGS001,19,Termocarabobo29663,30.0,1994,0.38
VEN20PWRNGS001,VEN,PWRNGS001,20,Termozulia29664,30.0,1994,1.3
VEN21PWRNGS001,VEN,PWRNGS001,21,TermozuliaII29665,30.0,2011,0.45
VEN22PWRNGS001,VEN,PWRNGS001,22,TermozuliaIII29666,30.0,2012,0.45
VEN10PWRNGS002,VEN,PWRNGS002,10,Turboven29667,30.0,1994,0.04
VEN0PWRHYD001,VEN,PWRHYD001,0,AntonioJosede29627,80.0,1974,2.928
VEN1PWRHYD001,VEN,PWRHYD001,1,FabricioOjeda29634,80.0,2011,0.514
VEN2PWRHYD001,VEN,PWRHYD001,2,FransiscodeMi29635,80.0,1974,2.196
VEN3PWRHYD001,VEN,PWRHYD001,3,JoseAntonioPa29638,80.0,1974,0.24
VEN0PWRHYD002,VEN,PWRHYD002,0,JuanAntonioRo29641,80.0,1974,0.08
VEN4PWRHYD001,VEN,PWRHYD001,4,LeanardoRuizP29644,80.0,1974,0.3
VEN5PWRHYD001,VEN,PWRHYD001,5,ManuelPiarTo29646,80.0,2017,2.527
VEN1PWRHYD002,VEN,PWRHYD002,1,Masparro29647,80.0,1974,0.025
VEN6PWRHYD001,VEN,PWRHYD001,6,SimonBolivar29661,80.0,1974,8.855
VEN0PWROHC002,VEN,PWROHC002,0,Capacity Scaler,30.0,1996,3.57
VEN0PWRWND001,VEN,PWRWND001,0,Capacity Scaler,20.0,2009,0.03
