Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,2587
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,2958.28
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,1624.46
Hydropower (MW),Estimated Renewable Energy Potential,45952
Small Hydropower (MW),Estimated Renewable Energy Potential,48
Geothermal (MW),Estimated Renewable Energy Potential,910
