Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,49.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,320.9,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,178.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,13.27,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,2.22,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,49.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,320.9,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,178.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,13.28,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,2.22,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,49.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,320.9,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,178.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,13.28,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,2.22,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,49.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,320.9,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,240.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,178.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,13.28,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,2.22,Estimated Installed Capacity (MW)
