Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,5204
CSP (Twh/yr),Estimated Renewable Energy Potential,467
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,2
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,5515
Small Hydropower (MW),Estimated Renewable Energy Potential,198
Geothermal (MW),Estimated Renewable Energy Potential,0
