Technology,Parameter,Value
"Total Recoverable Coal (mil. short tons, 2017)",Estimated Reserves,6.61
"Crude Oil Proven Reserves (billion barrels, 2019)",Estimated Reserves,0.15
"Natural Gas Proven Reserves (trillion cubic feet, 2019)",Estimated Reserves,0.0
