Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,15669
CSP (Twh/yr),Estimated Renewable Energy Potential,8829
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,14628
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,1262
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,55.8
Hydropower (MW),Estimated Renewable Energy Potential,359
Small Hydropower (MW),Estimated Renewable Energy Potential,8
Geothermal (MW),Estimated Renewable Energy Potential,0
