ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045
Gas Power Plant (SCGT),Equatorial Guinea,PJ/y,5.71212,5.5978775999999995,5.485920048,5.376201647039999,5.268677614099199,5.1633040618172155
Large Hydropower Plant (Dam) (>100MW),Equatorial Guinea,PJ/y,4.644,4.55112,4.4600976,4.370895648,4.28347773504,4.1978081803392
