Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,38804
CSP (Twh/yr),Estimated Renewable Energy Potential,31482
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,18456
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,2295.2
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,789.2
Hydropower (MW),Estimated Renewable Energy Potential,3800
Small Hydropower (MW),Estimated Renewable Energy Potential,480
Geothermal (MW),Estimated Renewable Energy Potential,650
