lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
TZA0PWRBIO001,TZA,PWRBIO001,0,Capacity Scaler,30.0,2001,0.07
TZA0PWRNGS002,TZA,PWRNGS002,0,Capacity Scaler,30.0,1994,0.08654844291000001
TZA1PWRNGS002,TZA,PWRNGS002,1,Mtwara17927,30.0,1994,0.018
TZA2PWRNGS002,TZA,PWRNGS002,2,Nyakato17928,30.0,2012,0.063
TZA3PWRNGS002,TZA,PWRNGS002,3,Tegeta17931,30.0,1994,0.045
TZA0PWRNGS001,TZA,PWRNGS001,0,UbungoGasSon17932,30.0,1994,0.208
TZA0PWRHYD002,TZA,PWRHYD002,0,Hale17922,80.0,1974,0.021
TZA0PWRHYD001,TZA,PWRHYD001,0,Kidatu17924,80.0,1975,0.204
TZA1PWRHYD001,TZA,PWRHYD001,1,Kihansi17925,80.0,1999,0.18
TZA1PWRHYD002,TZA,PWRHYD002,1,Mtera17926,80.0,1980,0.08
TZA0PWRHYD003,TZA,PWRHYD003,0,NyumbayaMungu17929,80.0,1966,0.008
TZA2PWRHYD002,TZA,PWRHYD002,2,PanganiFalls17930,80.0,1995,0.068
TZA0PWROHC002,TZA,PWROHC002,0,IPTLTanzania17923,30.0,1996,0.1
