Technology,Parameter,Value
"Total Recoverable Coal (mil. short tons, 2017)",Estimated Reserves,296.52
"Crude Oil Proven Reserves (billion barrels, 2019)",Estimated Reserves,0.0
"Natural Gas Proven Reserves (trillion cubic feet, 2019)",Estimated Reserves,0.23
