Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,3220
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,1385.5
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,39800
Small Hydropower (MW),Estimated Renewable Energy Potential,200
Geothermal (MW),Estimated Renewable Energy Potential,2490
