Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,6778
CSP (Twh/yr),Estimated Renewable Energy Potential,2
Hydropower (MW),Estimated Renewable Energy Potential,2500
Small Hydropower (MW),Estimated Renewable Energy Potential,65
Geothermal (MW),Estimated Renewable Energy Potential,0
