Technology,Parameter,Value
"Total Recoverable Coal (mil. short tons, 2017)",Estimated Reserves,0.0
"Crude Oil Proven Reserves (billion barrels, 2019)",Estimated Reserves,1.6
"Natural Gas Proven Reserves (trillion cubic feet, 2019)",Estimated Reserves,3.2
