Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,71.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,0.07,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,0.34,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,0.12,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,0.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.46,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,71.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,0.07,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,0.34,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,0.12,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,0.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.46,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,71.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,0.07,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,0.34,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,0.12,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,0.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.57,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,71.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,0.07,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,0.34,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,0.12,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,0.1,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.57,Estimated Installed Capacity (MW)
