Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,17894
CSP (Twh/yr),Estimated Renewable Energy Potential,15691
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,13229
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,1145
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,15.6
Hydropower (MW),Estimated Renewable Energy Potential,6051
Small Hydropower (MW),Estimated Renewable Energy Potential,62
Geothermal (MW),Estimated Renewable Energy Potential,0
