Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,39.76,Estimated Installed Capacity (MW)
Coal Power Plant,2015,300.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,2308.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.06,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,2.61,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,39.76,Estimated Installed Capacity (MW)
Coal Power Plant,2016,300.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,2308.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.09,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,2.61,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,39.76,Estimated Installed Capacity (MW)
Coal Power Plant,2017,300.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,2308.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.09,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,2.61,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,39.76,Estimated Installed Capacity (MW)
Coal Power Plant,2018,300.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,2308.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,12.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.22,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,2.61,Estimated Installed Capacity (MW)
