Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,14.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.3,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.2,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,14.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.3,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.2,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,14.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.3,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.2,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,14.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,19.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.3,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.2,Estimated Installed Capacity (MW)
