ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Gas Power Plant (CCGT),Congo Republic,PJ/y,105.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Congo Republic,PJ/y,20.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Fuel Oil Power Plant,Congo Republic,PJ/y,20732.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Congo Republic,PJ/y,17.154999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),Congo Republic,PJ/y,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
