Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,5402
CSP (Twh/yr),Estimated Renewable Energy Potential,6
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,6000
Small Hydropower (MW),Estimated Renewable Energy Potential,7.8
Geothermal (MW),Estimated Renewable Energy Potential,0
