Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,16.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,306.91,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,160.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,170.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,1.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.2,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,16.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,306.91,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,160.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,170.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,1.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.29,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,16.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,306.91,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,160.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,170.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,1.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.29,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,16.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,306.91,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,160.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,170.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,1.4,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.29,Estimated Installed Capacity (MW)
