Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,13319
CSP (Twh/yr),Estimated Renewable Energy Potential,9786
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,202
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,7209
Small Hydropower (MW),Estimated Renewable Energy Potential,600
Geothermal (MW),Estimated Renewable Energy Potential,0
