,timeslice,region,technology,year,agent,category,sector,LCOE
22481,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,56.01861337740
22482,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,49.97790089051
22483,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,31.94946721424
22484,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,31.94946721424
22485,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,35.51304185056
22486,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,35.51304185056
22487,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,28.54232112984
22488,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,35.51304185056
22489,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,28.54232112984
22490,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,35.51304185056
22491,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,28.54232112984
22492,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,35.51304185056
22493,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,28.54232112984
22494,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,35.51304185056
22495,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
22496,"('winter', 'all-week', 'day')",Kenya,Medium Hydropower Plant (10-100MW),2050,A1,retrofit,power,0.00000000000
22497,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,57.59525043206
22498,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,33.27005116588
22499,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,66.33207456490
22500,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,103.74694442332
22501,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,66.33207456490
22502,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,75.48914050857
22503,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,122.68574649432
22504,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,78.42954750579
22505,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,78.42954750579
22506,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,53.83824385636
22507,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,53.83824385636
22508,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,46.86752313564
22509,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,53.83824385636
22510,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,46.86752313564
22511,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,53.83824385636
22512,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,46.86752313564
22513,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,53.83824385636
22514,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,46.86752313564
22515,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,53.83824385636
22516,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,0.00000000000
22517,"('winter', 'all-week', 'day')",Kenya,Nuclear Power Plant,2050,A1,retrofit,power,0.00000000000
22518,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,25.54399439463
22519,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,12.98444607890
22520,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,25.88770234503
22521,"('winter', 'all-week', 'day')",Kenya,Offshore Wind,2050,A1,retrofit,power,83.62285756915
