ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Light Fuel Oil Power Plant,Sierra Leone,PJ/y,15476.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Sierra Leone,PJ/y,6570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),Sierra Leone,PJ/y,6716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
