ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Sierra Leone,2020,fixed,0,1.0,0,0,0,0,0,0,0,0,0
CSP with Storage,Sierra Leone,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
CSP without Storage,Sierra Leone,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Coal Power Plant,Sierra Leone,2020,fixed,0,0,1.0,0,0,0,0,0,0,0,0
Gas Power Plant (CCGT),Sierra Leone,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Gas Power Plant (SCGT),Sierra Leone,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Geothermal Power Plant,Sierra Leone,2020,fixed,0,0,0,0,1.0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Sierra Leone,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Light Fuel Oil Power Plant,Sierra Leone,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Light Fuel Oil Standalone Generator (1kW),Sierra Leone,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Medium Hydropower Plant (10-100MW),Sierra Leone,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Nuclear Power Plant,Sierra Leone,2020,fixed,0,0,0,0,0,0,0,0,1.0,0,0
Offshore Wind,Sierra Leone,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Oil Fired Gas Turbine (SCGT),Sierra Leone,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Onshore Wind,Sierra Leone,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Small Hydropower Plant (<10MW),Sierra Leone,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Solar PV (Distributed with Storage),Sierra Leone,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Solar PV (Utility),Sierra Leone,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
