Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,10105
CSP (Twh/yr),Estimated Renewable Energy Potential,3706
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,979
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,15.9
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,23000
Small Hydropower (MW),Estimated Renewable Energy Potential,970
Geothermal (MW),Estimated Renewable Energy Potential,0
