Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,12484.47,Estimated Installed Capacity (MW)
Coal Power Plant,2015,4145.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,13455.16,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,19287.36,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,758.16,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,6.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,88787.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,6917.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,1068.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,11383.17,Estimated Installed Capacity (MW)
Nuclear Power Plant,2015,1990.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,3.93,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.02,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,12402.47,Estimated Installed Capacity (MW)
Coal Power Plant,2016,4145.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,13454.16,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,19287.36,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,718.16,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,6.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,88787.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,6917.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,1064.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,11383.17,Estimated Installed Capacity (MW)
Nuclear Power Plant,2016,1990.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,4.09,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.02,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,12319.47,Estimated Installed Capacity (MW)
Coal Power Plant,2017,4145.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,13448.16,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,19287.36,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,718.16,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,6.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,88787.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,6917.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,1063.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,11383.17,Estimated Installed Capacity (MW)
Nuclear Power Plant,2017,1990.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,7.21,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.02,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,12271.47,Estimated Installed Capacity (MW)
Coal Power Plant,2018,4145.5,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,13403.16,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,19287.36,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,718.16,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,6.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,88787.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,6917.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,1062.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,11378.17,Estimated Installed Capacity (MW)
Nuclear Power Plant,2018,1990.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,7.23,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.02,Estimated Installed Capacity (MW)
All,2015,160285.77000000002,Total Estimated Installed Capacity (MW)
All,2016,160158.93000000002,Total Estimated Installed Capacity (MW)
All,2017,160072.05000000002,Total Estimated Installed Capacity (MW)
All,2018,159973.07000000004,Total Estimated Installed Capacity (MW)
