Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,24992
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,22215.5
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,7554.97
Hydropower (MW),Estimated Renewable Energy Potential,260093
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
