Power Generation Technology,Year,Value,Parameter
Gas Power Plant (CCGT),2015,1251.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,1598.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,5.61,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,1251.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,1598.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,6.85,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,1251.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,1598.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,7.58,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,1251.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,1598.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,7.59,Estimated Installed Capacity (MW)
