Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,7644
CSP (Twh/yr),Estimated Renewable Energy Potential,229
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,606
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,2.4
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,1887
Small Hydropower (MW),Estimated Renewable Energy Potential,17.4
Geothermal (MW),Estimated Renewable Energy Potential,0
