Power Generation Technology,Year,Value,Parameter
Gas Power Plant (SCGT),2015,184.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,184.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,184.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,150.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,184.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,150.0,Estimated Installed Capacity (MW)
