ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Botswana,2020,fixed,79.27447995941148,1.0,2.3782343987823444,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,30.0,0.5,1.0,35.0,0.089,energy,biomass,electricity,1.0
CSP with Storage,Botswana,2020,fixed,183.82166412988335,1.0,1.8382166412988334,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,30.0,0.45,1.0,100.0,0.089,energy,solar,electricity,1.0
CSP without Storage,Botswana,2020,fixed,128.6783358701167,1.0,1.286783358701167,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,30.0,0.45,1.0,100.0,0.089,energy,solar,electricity,1.0
Coal Power Plant,Botswana,2020,fixed,79.27447995941148,1.0,2.473363774733638,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,35.0,0.85,1.0,37.0,0.089,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Botswana,2020,fixed,38.05175038051751,1.0,1.1098427194317606,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,30.0,0.85,1.0,48.0,0.089,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Botswana,2020,fixed,22.196854388635213,1.0,0.6341958396752918,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,25.0,0.85,1.0,30.0,0.089,energy,gas,electricity,1.0
Geothermal Power Plant,Botswana,2020,fixed,126.83916793505837,1.0,3.805175038051751,1.0,3.17e-06,1.0,2500.0,500.0,0.0,25.0,0.79,1.0,80.0,0.089,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Botswana,2020,fixed,95.12937595129378,1.0,2.8538812785388132,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,50.0,0.23,100.0,100.0,0.089,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Botswana,2020,fixed,38.05175038051751,1.0,1.1098427194317606,1.0,3.17e-06,1.0,2500.0,500.0,50000.0,25.0,0.8,1.0,35.0,0.089,energy,LFO,electricity,1.0
