ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Biomass Power Plant,Indonesia,PJ/y,54.87264,38.410847999999994,26.887593599999995,18.821315519999995,13.174920863999995,9.222444604799996,6.455711223359997
Coal Power Plant,Indonesia,PJ/y,1084.7579832,759.3305882399999,531.5314117679999,372.0719882375999,260.4503917663199,182.31527423642393,127.62069196549675
Gas Power Plant (CCGT),Indonesia,PJ/y,435.16494864,304.615464048,213.23082483359997,149.26157738351998,104.48310416846398,73.13817291792478,51.19672104254734
Gas Power Plant (SCGT),Indonesia,PJ/y,36.89712,25.827984,18.0795888,12.655712159999998,8.858998511999998,6.201298958399998,4.340909270879998
Geothermal Power Plant,Indonesia,PJ/y,44.276544,30.9935808,21.69550656,15.186854591999998,10.630798214399999,7.441558750079999,5.209091125055998
Large Hydropower Plant (Dam) (>100MW),Indonesia,PJ/y,143.15483376,100.208383632,70.1458685424,49.10210797967999,34.37147558577599,24.06003291004319,16.84202303703023
Light Fuel Oil Power Plant,Indonesia,PJ/y,23.70655728,16.594590095999997,11.616213067199997,8.131349147039998,5.691944402927998,3.9843610820495985,2.789052757434719
Medium Hydropower Plant (10-100MW),Indonesia,PJ/y,15.92568,11.147976,7.803583199999999,5.462508239999999,3.823755767999999,2.6766290375999993,1.8736403263199994
Small Hydropower Plant (<10MW),Indonesia,PJ/y,1.324512,0.9271583999999998,0.6490108799999998,0.45430761599999986,0.31801533119999986,0.22261073183999988,0.1558275122879999
Solar PV (Distributed with Storage),Indonesia,PJ/y,1.42164288,0.995150016,0.6966050112,0.4876235078399999,0.3413364554879999,0.23893551884159991,0.16725486318911992
