Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,22862
CSP (Twh/yr),Estimated Renewable Energy Potential,12439
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,2173
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,41.4
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,22573
Small Hydropower (MW),Estimated Renewable Energy Potential,101
Geothermal (MW),Estimated Renewable Energy Potential,0
