lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
COD0PWRNGS002,COD,PWRNGS002,0,DjenoTotal8454,30.0,2012,0.025
COD0PWRHYD001,COD,PWRHYD001,0,Imboulou8455,80.0,1974,0.12
COD1PWRHYD001,COD,PWRHYD001,1,IngaII8456,80.0,1982,1.775
COD0PWRHYD002,COD,PWRHYD002,0,Katende8457,80.0,2016,0.064
COD1PWRHYD002,COD,PWRHYD002,1,Koni8458,80.0,1950,0.042
COD2PWRHYD002,COD,PWRHYD002,2,MSha8459,80.0,1974,0.068
COD3PWRHYD002,COD,PWRHYD002,3,Moukoukoulou8460,80.0,1974,0.074
COD4PWRHYD002,COD,PWRHYD002,4,Mwadingusha8461,80.0,1930,0.068
COD2PWRHYD001,COD,PWRHYD001,2,Nseke8462,80.0,1956,0.26
COD3PWRHYD001,COD,PWRHYD001,3,Nzilo8463,80.0,1957,0.228
COD5PWRHYD002,COD,PWRHYD002,5,Rutshuru8465,80.0,2015,0.014
COD6PWRHYD002,COD,PWRHYD002,6,RuziziI8466,80.0,1958,0.081
COD7PWRHYD002,COD,PWRHYD002,7,Zongo18467,80.0,1945,0.075
COD4PWRHYD001,COD,PWRHYD001,4,ZongoII8468,80.0,2017,0.15
COD0PWROHC002,COD,PWROHC002,0,PointeNoire8464,30.0,1996,0.013
