Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,13.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,2533.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,418.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.67,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,110.9,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,13.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,2533.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,418.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,3.24,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,110.9,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,13.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,2533.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,418.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,5.24,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,121.7,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,13.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,2533.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,418.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,18.9,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,131.7,Estimated Installed Capacity (MW)
