ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
gasboiler,Kenya,PJ/y,10,8,6.4,5.12,4.092,3.27,2.62
heatpump,Kenya,PJ/y,0,0,0,0,0,0,0
