Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,660.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,2634.54,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,161.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,1594.55,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,15541.38,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,1362.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,3.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,9204.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,589.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,52.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,279.32,Estimated Installed Capacity (MW)
Nuclear Power Plant,2015,1764.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.62,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,19.56,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,660.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,2634.54,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,161.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,1594.55,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,15541.38,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,1362.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,3.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,9204.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,589.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,52.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,279.32,Estimated Installed Capacity (MW)
Nuclear Power Plant,2016,1764.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.62,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,19.58,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,660.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,2634.54,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,161.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,1594.55,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,15541.38,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,1362.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,3.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,9204.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,589.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,52.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,279.32,Estimated Installed Capacity (MW)
Nuclear Power Plant,2017,1764.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.62,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,19.58,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,660.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,2634.54,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,161.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,1594.55,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,13775.38,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,1362.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,3.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,9204.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,589.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,52.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,279.32,Estimated Installed Capacity (MW)
Nuclear Power Plant,2018,1764.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.62,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,19.58,Estimated Installed Capacity (MW)
