Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,7854
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,17900
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,10337.7
Hydropower (MW),Estimated Renewable Energy Potential,39970
Small Hydropower (MW),Estimated Renewable Energy Potential,430
Geothermal (MW),Estimated Renewable Energy Potential,2010
