ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Light Fuel Oil Power Plant,South Sudan,PJ/y,15443.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),South Sudan,PJ/y,3504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Distributed with Storage),South Sudan,PJ/y,42.157500000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
