Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,1613.1
Onshore Wind (TWh/yr),Estimated Renewable Energy Potential,100
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,12992.3
Hydropower (MW),Estimated Renewable Energy Potential,41436
Small Hydropower (MW),Estimated Renewable Energy Potential,12800
Geothermal (MW),Estimated Renewable Energy Potential,26150
