lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
IDN9PWRNGS002,IDN,PWRNGS002,9,PLTGPriok13019,30.0,1994,0.052
IDN10PWRNGS001,IDN,PWRNGS001,10,PLTGSengkangW13020,30.0,1994,0.18
IDN10PWRNGS002,IDN,PWRNGS002,10,PLTGSunyaragi13021,30.0,1994,0.08
IDN11PWRNGS002,IDN,PWRNGS002,11,PLTGTarakan13022,30.0,1994,0.023
IDN12PWRNGS002,IDN,PWRNGS002,12,PLTGTello13023,30.0,1994,0.123
IDN13PWRNGS002,IDN,PWRNGS002,13,PLTGUBekasiPo13026,30.0,1994,0.13
IDN11PWRNGS001,IDN,PWRNGS001,11,PLTGUBelawan13027,30.0,1994,0.816
IDN12PWRNGS001,IDN,PWRNGS001,12,PLTGUCilegon13028,30.0,1994,0.903
IDN13PWRNGS001,IDN,PWRNGS001,13,PLTGUGrati13029,30.0,1994,0.462
IDN14PWRNGS001,IDN,PWRNGS001,14,PLTGUGresik13030,30.0,1994,1.58
IDN15PWRNGS001,IDN,PWRNGS001,15,PLTGUKrakatau13031,30.0,1994,0.4
IDN16PWRNGS001,IDN,PWRNGS001,16,PLTGUMuaraKar13032,30.0,1994,0.51
IDN17PWRNGS001,IDN,PWRNGS001,17,PLTGUMuaraKar13033,30.0,1994,0.754
IDN18PWRNGS001,IDN,PWRNGS001,18,PLTGUMuaraKar13034,30.0,1994,0.21
IDN19PWRNGS001,IDN,PWRNGS001,19,PLTGUMuaraTaw13035,30.0,1994,0.921
IDN20PWRNGS001,IDN,PWRNGS001,20,PLTGUMuaraTaw13036,30.0,1994,0.384
IDN21PWRNGS001,IDN,PWRNGS001,21,PLTGUPriokBlo13037,30.0,1994,1.179
IDN22PWRNGS001,IDN,PWRNGS001,22,PLTGUSengkang13038,30.0,1994,0.135
IDN23PWRNGS001,IDN,PWRNGS001,23,PLTGUTambakLo13039,30.0,1994,1.035
IDN14PWRNGS002,IDN,PWRNGS002,14,PLTGexPLTDS13003,30.0,1994,0.018
IDN15PWRNGS002,IDN,PWRNGS002,15,PLTMGPanaran13040,30.0,1994,0.024
IDN16PWRNGS002,IDN,PWRNGS002,16,PLTMGPulauBun13041,30.0,1994,0.002
IDN17PWRNGS002,IDN,PWRNGS002,17,PLTMGTj,30.0,1994,0.008
IDN0PWRGEO,IDN,PWRGEO,0,Capacity Scaler,30.0,1995,0.062
IDN1PWRGEO,IDN,PWRGEO,1,Darajat112967,30.0,1995,0.055
IDN2PWRGEO,IDN,PWRGEO,2,Darajat2312968,30.0,1995,0.215
IDN3PWRGEO,IDN,PWRGEO,3,Dieng12969,30.0,1995,0.06
IDN4PWRGEO,IDN,PWRGEO,4,GunungSalak12973,30.0,1995,0.375
IDN5PWRGEO,IDN,PWRGEO,5,Kamojang1212977,30.0,1995,0.14
IDN6PWRGEO,IDN,PWRGEO,6,Kamojang412978,30.0,1995,0.06
IDN7PWRGEO,IDN,PWRGEO,7,LahendongBina12987,30.0,1995,0.02
IDN8PWRGEO,IDN,PWRGEO,8,LahendongIV12988,30.0,1995,0.08
IDN9PWRGEO,IDN,PWRGEO,9,Ulubelu1213124,30.0,1995,0.11
IDN10PWRGEO,IDN,PWRGEO,10,WayangWindu13125,30.0,1995,0.227
IDN0PWRHYD001,IDN,PWRHYD001,0,AsahanI12953,80.0,1974,0.18
