Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,1740.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,34397.45,Estimated Installed Capacity (MW)
Geothermal Power Plant,2015,1404.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,751.73,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,13798.99,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,1170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,4539.41,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,505.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,42.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,41.62,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,14.42,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,1740.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,34397.45,Estimated Installed Capacity (MW)
Geothermal Power Plant,2016,1404.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,751.73,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,13798.99,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,1170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,4539.41,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,505.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,42.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,41.71,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,14.85,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,1740.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,34397.45,Estimated Installed Capacity (MW)
Geothermal Power Plant,2017,1404.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,751.73,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,13798.99,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,1170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,4539.41,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,505.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,42.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,43.01,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,14.85,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,1740.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,34397.45,Estimated Installed Capacity (MW)
Geothermal Power Plant,2018,1404.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,751.73,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,13798.99,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,1170.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,4539.41,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,505.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,42.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,45.08,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,14.85,Estimated Installed Capacity (MW)
