Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,266.59,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,8.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,266.59,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,10.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,266.59,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,12.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,266.59,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,30.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,27.0,Estimated Installed Capacity (MW)
