Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,7742
CSP (Twh/yr),Estimated Renewable Energy Potential,0
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,4154
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,7.5
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,133
Small Hydropower (MW),Estimated Renewable Energy Potential,17
Geothermal (MW),Estimated Renewable Energy Potential,0
