ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Kenya,2020,fixed,80.74935400516796,1.0,2.4224806201550386,1.0,0.0,1.0,20000.0,20000.0,20000.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
CSP with Storage,Kenya,2020,fixed,187.24160206718344,1.0,1.8724160206718343,1.0,0.0,1.0,20000.0,20000.0,20000.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Kenya,2020,fixed,131.0723514211886,1.0,1.310723514211886,1.0,0.0,1.0,20000.0,20000.0,20000.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Kenya,2020,fixed,80.74935400516796,1.0,2.51937984496124,1.0,0.0,1.0,20000.0,20000.0,20000.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Kenya,2020,fixed,38.75968992248062,1.0,1.1304909560723513,1.0,0.0,1.0,20000.0,20000.0,20000.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Kenya,2020,fixed,22.609819121447025,1.0,0.6459948320413436,1.0,0.0,1.0,20000.0,20000.0,20000.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Geothermal Power Plant,Kenya,2020,fixed,129.19896640826872,1.0,3.875968992248062,1.0,0.0,1.0,20000.0,20000.0,20000.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Kenya,2020,fixed,96.89922480620154,1.0,2.9069767441860463,1.0,0.0,1.0,20000.0,20000.0,20000.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Kenya,2020,fixed,38.75968992248062,1.0,1.1304909560723513,1.0,0.0,1.0,20000.0,20000.0,20000.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Kenya,2020,fixed,24.224806201550386,1.0,0.7428940568475452,1.0,0.0,1.0,20000.0,20000.0,20000.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Medium Hydropower Plant (10-100MW),Kenya,2020,fixed,80.74935400516796,1.0,2.4224806201550386,1.0,0.0,1.0,20000.0,20000.0,20000.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,electricity,1.0
Nuclear Power Plant,Kenya,2020,fixed,198.22351421188628,1.0,5.946705426356589,1.0,0.0,1.0,20000.0,20000.0,20000.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Offshore Wind,Kenya,2020,fixed,128.30749354005167,1.0,5.1324289405684755,1.0,0.0,1.0,20000.0,20000.0,20000.0,25.0,0.45,1.0,1.0,0.1,energy,wind,electricity,1.0
Oil Fired Gas Turbine (SCGT),Kenya,2020,fixed,46.83462532299741,1.0,1.4534883720930232,1.0,0.0,1.0,20000.0,20000.0,20000.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
