Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,29272
CSP (Twh/yr),Estimated Renewable Energy Potential,25807
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,20553
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,3279
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,982
Hydropower (MW),Estimated Renewable Energy Potential,2927
Small Hydropower (MW),Estimated Renewable Energy Potential,24.7
Geothermal (MW),Estimated Renewable Energy Potential,0
