Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,480
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,1278.61
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,934.53
Hydropower (MW),Estimated Renewable Energy Potential,1607.2
Small Hydropower (MW),Estimated Renewable Energy Potential,207.8
Geothermal (MW),Estimated Renewable Energy Potential,0
