Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,425.3,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,905.2,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,570.34,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,227.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,1538.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,1384.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.56,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,425.3,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,905.2,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,570.34,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,227.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,1538.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,1384.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,1.14,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,425.3,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,905.2,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,570.34,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,227.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,1538.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,1384.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,1.72,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,425.3,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,905.2,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,570.34,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,54.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,227.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,1538.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,1384.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,2.27,Estimated Installed Capacity (MW)
All,2015,5104.400000000001,Total Estimated Installed Capacity (MW)
All,2016,5104.9800000000005,Total Estimated Installed Capacity (MW)
All,2017,5105.56,Total Estimated Installed Capacity (MW)
All,2018,5106.110000000001,Total Estimated Installed Capacity (MW)
