Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,7990
CSP (Twh/yr),Estimated Renewable Energy Potential,4988
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,11822
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,2940.5
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,1337.8
Geothermal (MW),Estimated Renewable Energy Potential,0
