Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,1499
CSP (Twh/yr),Estimated Renewable Energy Potential,197
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,805
Small Hydropower (MW),Estimated Renewable Energy Potential,12.9
Geothermal (MW),Estimated Renewable Energy Potential,0
