Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,3898
CSP (Twh/yr),Estimated Renewable Energy Potential,0
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,405
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,436
Small Hydropower (MW),Estimated Renewable Energy Potential,69.9
Geothermal (MW),Estimated Renewable Energy Potential,0
