Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,667
Hydropower (MW),Estimated Renewable Energy Potential,971
Small Hydropower (MW),Estimated Renewable Energy Potential,56.4
Geothermal (MW),Estimated Renewable Energy Potential,0
