Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,120.7,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,60.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.06,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,4.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,120.7,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,60.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.06,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,4.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,120.7,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,60.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,2.41,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,4.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,120.7,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,60.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,2.58,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,4.0,Estimated Installed Capacity (MW)
