ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Oil Fired Gas Turbine (SCGT),Djibouti,PJ/y,3.374352,3.30686496,3.2407276607999997,3.1759131075839995,3.1123948454323194,3.0501469485236727,2.989144009553199
Solar PV (Distributed with Storage),Djibouti,PJ/y,0.01135296,0.0111259008,0.010903382784,0.01068531512832,0.0104716088257536,0.010262176649238527,0.010056933116253757
