ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Biomass Power Plant,Cambodia,PJ/y,0.063072,0.0441504,0.030905279999999997,0.021633695999999997,0.015143587199999997,0.010600511039999998,0.007420357727999998
Coal Power Plant,Cambodia,PJ/y,15.957215999999999,11.170051199999998,7.819035839999998,5.473325087999998,3.8313275615999984,2.6819292931199987,1.877350505183999
Large Hydropower Plant (Dam) (>100MW),Cambodia,PJ/y,28.287792,19.801454399999997,13.861018079999997,9.702712655999997,6.791898859199998,4.754329201439998,3.3280304410079986
Medium Hydropower Plant (10-100MW),Cambodia,PJ/y,1.040688,0.7284816,0.5099371199999999,0.3569559839999999,0.24986918879999992,0.17490843215999993,0.12243590251199994
Oil Fired Gas Turbine (SCGT),Cambodia,PJ/y,1.702944,1.1920608,0.8344425599999999,0.5841097919999999,0.40887685439999993,0.2862137980799999,0.20034965865599993
Solar PV (Distributed with Storage),Cambodia,PJ/y,0.06117984,0.042825888,0.029978121599999998,0.020984685119999996,0.014689279583999995,0.010282495708799997,0.007197746996159997
Solar PV (Utility),Cambodia,PJ/y,0.378432,0.2649024,0.18543168,0.129802176,0.09086152319999999,0.06360306623999999,0.04452214636799999
