ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Oil Fired Gas Turbine (SCGT),Djibouti,PJ/y,31244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Distributed with Storage),Djibouti,PJ/y,38.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
