Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,1940
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,1424.5
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,2040.87
Hydropower (MW),Estimated Renewable Energy Potential,40400
Small Hydropower (MW),Estimated Renewable Energy Potential,231
Geothermal (MW),Estimated Renewable Energy Potential,4400
