Row Labels,PWRHYD001,PWRHYD002,PWRNGS001,PWROHC001,PWROHC002,PWRSOL001,PWRWND001,PWRNGS002,PWRHYD004,PWRSOL002,PWRBIO001,PWRCOA001,PWRGEO,PWRTRNIMP
2020,7.4998065,9.0216134,0.73253195,0.20184671,4.3765052,0.11899893,2.0071126,,0.096715941,0.21889192,1.063421,,15.784283,0.3
2021,7.4998065,9.0216134,0.59255916,,3.4585659,0.11899893,2.0071126,,0.096715941,0.21889192,1.2346425,3.0705927,16.033866,0.3
2022,7.4998065,9.0216134,0.52383123,,3.391344,0.11899893,2.0071126,,0.096715941,0.21889192,1.2346425,5.3370301,16.293409,0.3
2023,7.4998065,9.0216134,0.48835463,,3.3194189,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,7.7958846,16.322833,0.3
2024,7.4998065,7.0857916,,,,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,16.273554,16.322833,0.3
2025,7.4998065,7.0857916,0.12208866,,0.27270049,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,18.800012,16.322833,0.3
2026,7.4998065,7.0857916,0.39284433,,1.3805809,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,21.189868,16.322833,0.3
2027,7.4998065,7.0857916,2.0828074,,1.3828462,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,23.525754,16.322833,0.3
2028,4.1181302,7.0857916,2.872973,,1.7147459,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,30.090302,16.322833,0.3
2029,4.1181302,7.0857916,3.3823032,,1.7173328,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,34.178351,16.322833,0.3
2030,4.1181302,6.4846047,3.9863246,,1.778672,0.11899893,2.0071126,,0.096715941,0.21883407,1.41102,39.028721,16.322833,0.3
2031,4.1181302,6.4846047,4.5873664,,1.7817432,0.11899893,2.0071126,,0.096715941,0.21794323,,45.257777,16.322833,0.3
2032,4.1181302,6.4846047,5.234288,,1.7850289,0.11899893,2.0071126,,0.096715941,0.21794323,,50.450179,16.322833,0.3
2033,4.1181302,6.4846047,5.9310519,,1.7885677,0.11899893,2.0071126,,0.096715941,0.21794323,,56.042632,16.322833,0.3
2034,4.1181302,6.4846047,7.5316569,,0.94587828,0.11899893,2.0071126,,0.096715941,0.21345433,,62.063578,16.322833,0.3
2035,4.1181302,6.4846047,8.603417,,0.95155559,0.11899893,2.0071126,,0.096715941,0.20217422,,70.588359,16.322833,0.3
2036,4.1181302,6.4846047,10.006211,,0.51181441,0.11899893,2.0071126,,0.096715941,0.18032552,,78.125318,16.322833,0.3
2037,1.5931453,6.4846047,12.076054,,,0.11899893,2.0071126,,0.096715941,0.12888245,,88.262284,16.322833,0.3
2038,1.5931453,6.4846047,13.359119,,,,2.0071126,,0.096715941,0.047706175,,96.986988,16.322833,0.3
2039,1.5931453,6.4846047,14.497919,,,,2.0071126,,0.096715941,0.041389315,,109.88382,12.8373,0.3
2040,,6.4846047,15.478403,,,,2.0071126,,0.096715941,0.00578467,,128.81983,5.8911305,0.3
2041,,6.4846047,16.368136,,,,2.0071126,,0.096715941,0.00578467,,137.27268,5.8911305,0.3
2042,,6.4846047,17.192494,,,,,0.015344103,0.096715941,,,148.33675,5.8911305,0.3
2043,,6.4846047,18.144069,,,,,0.060927651,0.096715941,,,163.51378,0.18753549,0.3
2044,,6.4846047,19.151457,,,,,0.10918487,0.096715941,,,173.73042,,0.3
2045,,6.4846047,22.159618,,,,,0.16027163,0.096715941,,,182.40587,,0.3
2046,,6.4846047,23.564562,,,,,0.21540066,0.096715941,,,193.609,,0.3
2047,,6.4846047,25.051704,,,,,0.2737551,0.096715941,,,205.4676,,0.3
2048,,6.4846047,26.625856,,,,,0.33552373,0.096715941,,,218.02001,,0.3
2049,,6.4846047,28.292109,,,,,0.40090632,0.096715941,,,231.30684,,0.3
2050,,6.4846047,32.398701,,,,,0.47379552,0.046531866,,,243.07716,,0.3
