Power Generation Technology,Year,Value,Parameter
Geothermal Power Plant,2015,8.5,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,23.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,3621.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,191.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,171.18,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,9.84,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,1.28,Estimated Installed Capacity (MW)
Geothermal Power Plant,2016,8.5,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,23.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,3621.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,191.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,171.18,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,13.94,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,1.28,Estimated Installed Capacity (MW)
Geothermal Power Plant,2017,8.5,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,23.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,3621.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,191.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,171.18,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,13.94,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,1.28,Estimated Installed Capacity (MW)
Geothermal Power Plant,2018,8.5,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,23.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,3621.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,191.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,171.18,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,13.94,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,1.28,Estimated Installed Capacity (MW)
