Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,27154
CSP (Twh/yr),Estimated Renewable Energy Potential,22959
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,14838
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,3002
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,1981
Hydropower (MW),Estimated Renewable Energy Potential,45000
Small Hydropower (MW),Estimated Renewable Energy Potential,1500
Geothermal (MW),Estimated Renewable Energy Potential,5000
