ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Namibia,2020,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,electricity,1.0
CSP with Storage,Namibia,2020,fixed,5797000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
CSP without Storage,Namibia,2020,fixed,4058000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Namibia,2020,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Namibia,2020,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Namibia,2020,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,electricity,1.0
Geothermal Power Plant,Namibia,2020,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Namibia,2020,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,100.0,1.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Namibia,2020,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Namibia,2020,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,LFO,electricity,1.0
Medium Hydropower Plant (10-100MW),Namibia,2020,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Nuclear Power Plant,Namibia,2020,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,electricity,1.0
Offshore Wind,Namibia,2020,fixed,3972400.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,,1.0,1.0,0.1,energy,wind,electricity,1.0
Oil Fired Gas Turbine (SCGT),Namibia,2020,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,HFO,electricity,1.0
Onshore Wind,Namibia,2020,fixed,1489000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.15,1.0,1.0,0.1,energy,wind,electricity,1.0
Small Hydropower Plant (<10MW),Namibia,2020,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.59,10.0,1.0,0.1,energy,hydro,electricity,1.0
Solar PV (Distributed with Storage),Namibia,2020,fixed,4320000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.41,1.0,1.0,0.1,energy,solar,electricity,1.0
